Titulo;Empresa;Formato;Link;Nivel
Analista de Dados Sênior;VOLL;Remoto;https://voll.gupy.io/job/eyJqb2JJZCI6MTA4OTg1MzAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Estagiário em Dados | Pessoas e Cultura ;QCA;Híbrido;https://qca.gupy.io/job/eyJqb2JJZCI6MTA5Mjc5NjgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Especialista em Ciência de Dados;PagBank;Híbrido;https://pagseguro.gupy.io/job/eyJqb2JJZCI6MTA4Nzg3MzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ANALISTA DE DADOS PLENO ;Grupo Ri Happy;Híbrido;https://gruporihappy.gupy.io/job/eyJqb2JJZCI6MTA5Mjc3OTAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
ANALISTA DE DADOS JÚNIOR | BELO HORIZONTE/MG ;Localiza&Co;Híbrido;https://localiza.gupy.io/job/eyJqb2JJZCI6MTA4ODc1MzksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de Dados Senior;VENHA SER #SANGUELARANJA 🧡🚀;Remoto;https://fcamara.gupy.io/job/eyJqb2JJZCI6MTA5MjQ4OTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Engenheiro de Dados Pleno (Remota) ;Extractta;Remoto;https://extractta.gupy.io/job/eyJqb2JJZCI6MTA5MjU3MzksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Estagiário de Governança de Dados;SPC Brasil;Híbrido;https://spcbrasil.gupy.io/job/eyJqb2JJZCI6MTA4MDk1MDksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Estagiário(a) em Dados e Inteligência Comercial;https://www.linkedin.com/company/avantiatecnologiaeseguranca/mycompany/;Híbrido;https://avantia.gupy.io/job/eyJqb2JJZCI6MTA5MjM3NDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ANALISTA DE DADOS CADASTRAIS SÊNIOR | BELO HORIZONTE/MG ;Localiza&Co;Híbrido;https://localiza.gupy.io/job/eyJqb2JJZCI6MTA4OTQ2MDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de CRM SR (Dados - Inteligência do Cliente) - Cencosud - São Paulo/ SP;Cencosud Brasil;Presencial;https://cencosudbrasil.gupy.io/job/eyJqb2JJZCI6MTA5MTE4NjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
ENGENHEIRO DE DADOS;Globalweb;Híbrido;https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6MTA3MjQzNDYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de HSE (Foco em Dados e Indicadores);Evoltz Participações S.A;Híbrido;https://evoltz.gupy.io/job/eyJqb2JJZCI6MTA5MjMxMjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ASSISTENTE ADMINISTRATIVO -  ANÁLISE DE DADOS (VAGA AFIRMATIVA PCD);Unimed Nacional;Híbrido;https://unimednacional.gupy.io/job/eyJqb2JJZCI6MTA5MjMxMzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Cientista de Dados – Sênior;VENHA SER #SANGUELARANJA 🧡🚀;Presencial;https://fcamara.gupy.io/job/eyJqb2JJZCI6MTA5MTYxNjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
FINDES - Analista de Estudos e Pesquisas SR | Analista de Dados Sênior (com foco em BI e Analytics);FINDES;Presencial;https://findes.gupy.io/job/eyJqb2JJZCI6MTA4ODA1OTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista de Dados   ;Gradus;Presencial;https://gradus.gupy.io/job/eyJqb2JJZCI6MTA5MjIwOTIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Vindi | Líder Técnico de Dados | Modelagem de Crédito | Híbrido;LWSA;Híbrido;https://lwsa.gupy.io/job/eyJqb2JJZCI6MTA4NzY2NTYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista Administrativo Comercial de Dados Júnior  ;Afya ;Híbrido;https://afya.gupy.io/job/eyJqb2JJZCI6MTA5MDgwMzIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Pessoa Cientista de Dados Pleno;Akross;Remoto;https://akross.gupy.io/job/eyJqb2JJZCI6MTA5MjE1NzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Atendimento ao Cliente para Coleta de Dados - Anápolis Sul;Montreal | Tecnologia e Inovação;Presencial;https://montreal.gupy.io/job/eyJqb2JJZCI6MTA5MjE1MDksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Planejamento Financeiro Pleno (Gestão de Dados);Baterias Moura;Híbrido;https://redemoura.gupy.io/job/eyJqb2JJZCI6MTA4OTcwNTksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Analista de Informações Gerenciais Júnior (atuação no hub de dados/tecnologia);Grupo MAG;Híbrido;https://grupomag.gupy.io/job/eyJqb2JJZCI6MTA4NzgyNDgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Estágio em Dados;Programa Estagiar Grendene;Presencial;https://programaestagiargrendene.gupy.io/job/eyJqb2JJZCI6MTA4OTQ2ODEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Especialista de Dados | Finanças;Raízen ;Presencial;https://genteraizen.gupy.io/job/eyJqb2JJZCI6MTA4Nzg4OTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados;vezzilapolla.legal;Híbrido;https://vlmadv.gupy.io/job/eyJqb2JJZCI6MTA5MTczNTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Data Domain Analista III - (Diretoria de Dados) ;Grupo Boticário;Remoto;https://grupoboticario.gupy.io/job/eyJqb2JJZCI6MTA5MDU2MDQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados Junior;Privalia;Presencial;https://privalia.gupy.io/job/eyJqb2JJZCI6MTA5MDM3NzEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Júnior
Jovem Aprendiz - Analista de Dados ;Construtora Stanza;Presencial;https://stanza.gupy.io/job/eyJqb2JJZCI6MTA5MTY1MjksInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
2026-009 Administradora/Administrador de Banco de Dados SR (Foco em PostgreSQL e Linux);Atech ;Presencial;https://atech.gupy.io/job/eyJqb2JJZCI6MTA5MTYyNDAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
Analista Júnior de Dados - SP;Mattos Filho;Híbrido;https://mattosfilho.gupy.io/job/eyJqb2JJZCI6MTA4MTEzOTIsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Dados; Sigma Gerenciamento de Projetos;Presencial;https://sigma-gp.gupy.io/job/eyJqb2JJZCI6MTA5MTU0NjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
ADMINISTRADOR DE BANCO DE DADOS PLENO;Confidencial430;Presencial;https://paginaconfidencial430.gupy.io/job/eyJqb2JJZCI6MTA4NTk1NjYsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Pleno
Tech Lead Dados - Databricks;Gauge;Híbrido;https://gaugecarreiras.gupy.io/job/eyJqb2JJZCI6MTA5MTQzODAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Não Informado
Analista de Inteligência de Dados Sr;Jequiti Cosméticos;Presencial;https://jequiti.gupy.io/job/eyJqb2JJZCI6MTA5MTM4NTQsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal;Sênior
